datetime,open,close,high,low,volume,money,open_interest
2021-01-15,1053.263,1046.807,1062.855,1041.636,435654.0,45978300250.0,616356.0
2021-01-18,1045.561,1067.165,1075.874,1026.669,452210.0,47758982400.0,617628.0
2021-01-19,1066.378,1039.698,1068.952,1033.688,427281.0,45043538150.0,597335.0
2021-01-20,1044.032,1052.415,1059.993,1029.152,384892.0,40480698250.0,608044.0
2021-01-21,1052.517,1054.61,1062.697,1029.425,450596.0,47325510950.0,619870.0
2021-01-22,1058.644,1040.825,1065.486,1032.255,363495.0,38275867600.0,601259.0
2021-01-25,1034.876,1040.46,1054.074,1013.857,466876.0,48464633100.0,612440.0
2021-01-26,1042.933,1020.004,1055.754,1019.49,387452.0,40497336600.0,597340.0
2021-01-27,1021.093,1033.873,1040.925,1009.518,382862.0,39562084450.0,596172.0
2021-01-28,1027.188,978.28,1031.301,971.638,594868.0,59901153900.0,628971.0
2021-01-29,975.154,981.047,986.037,961.584,419499.0,41201035450.0,596257.0
2021-02-01,984.699,967.256,997.66,963.517,422095.0,41559892250.0,602706.0
2021-02-02,965.973,920.988,973.697,913.227,497855.0,47285268650.0,612719.0
2021-02-03,922.856,932.634,939.709,916.074,360550.0,33646671200.0,599045.0
2021-02-04,933.209,972.356,973.845,927.67,432878.0,41337687700.0,610925.0
2021-02-05,969.602,984.582,995.727,965.514,447278.0,44226540650.0,607969.0
2021-02-08,980.516,1006.114,1010.361,974.616,333983.0,33619447500.0,600418.0
2021-02-09,1009.149,1038.573,1043.417,1000.278,321283.0,33231389950.0,603148.0
2021-02-10,1038.054,1046.502,1046.947,1018.206,282231.0,29525064250.0,578871.0
2021-02-18,1072.212,1101.679,1105.236,1071.167,292271.0,32208716150.0,612080.0
2021-02-19,1097.393,1092.678,1116.518,1065.234,445549.0,49043292200.0,631523.0
2021-02-22,1091.382,1109.773,1148.491,1081.859,443882.0,49689142050.0,633308.0
2021-02-23,1107.306,1079.831,1115.617,1073.673,392761.0,43483943100.0,629148.0
2021-02-24,1078.095,1098.682,1102.43,1063.31,434054.0,47645818050.0,642363.0
2021-02-25,1098.315,1097.972,1127.604,1074.834,510971.0,56701497300.0,638580.0
2021-02-26,1097.382,1116.371,1130.478,1081.686,543060.0,61009772800.0,653987.0
2021-03-01,1111.183,1100.527,1127.649,1090.39,449945.0,49843667550.0,644477.0
2021-03-02,1093.638,1113.771,1114.251,1080.326,430702.0,47580816600.0,657180.0
2021-03-03,1104.11,1110.624,1132.472,1087.792,509635.0,57048072600.0,678721.0
2021-03-04,1101.012,1124.497,1134.387,1096.123,458843.0,51989766900.0,715163.0
2021-03-05,1116.018,1080.905,1123.341,1065.681,583871.0,64869421450.0,717244.0
2021-03-08,1083.491,1089.54,1113.502,1073.48,418405.0,46667252150.0,699557.0
2021-03-09,1085.124,983.266,1087.195,982.904,683821.0,72756506950.0,729289.0
2021-03-10,989.354,983.597,997.476,967.983,517147.0,52035337850.0,721193.0
2021-03-11,992.757,1030.211,1031.726,973.758,562966.0,58047330300.0,739358.0
2021-03-12,1021.85,995.931,1037.512,980.478,535080.0,55445961050.0,740746.0
2021-03-15,991.613,970.031,992.909,943.686,641160.0,63547343600.0,763376.0
